National Center for Education Statistics
"Revenues (in thousands) of public postsecondary institutions using GASB standards, by state and  source of funds: 2020"

Year,State,Total,Tuition and fees (net of allowances and discounts),Federal grants and contracts,State grants and contracts,Local grants and contracts,Sales and services of auxiliary enterprises,Sales and services of hospitals,Independent operations,Other operating revenues,Federal appropriations,State appropriations,Local appropriations,Federal nonoperating grants,State nonoperating grants,Local nonoperating grants,Gifts,Investment income,Other nonoperating revenues,Capital appropriations,Capital grants and gifts,Additions to permanent endowments,Other revenues and additions
2008,Oregon,"$4,457,055","$717,102","$623,058","$56,263","$176,341","$342,906","$856,755",$0,"$205,859","$9,496","$779,394","$171,928","$135,811","$17,881",$930,"$147,703","$68,685","$22,210","$21,392","$64,598","$17,363","$21,381"
2008,Pennsylvania,"$2,881,492","$917,290","$76,603","$159,211","$37,875","$313,530",$0,$0,"$76,438","$4,122","$769,152","$124,255","$198,111","$14,387","$2,047","$17,813","$51,735","$5,889","$77,325","$32,573",$-14,"$3,150"
2008,Rhode Island,"$688,991","$217,677","$60,925","$19,105","$5,942","$92,730",$0,"$18,738","$6,407",$0,"$167,557",$0,"$22,098",$0,$0,"$8,435","$4,879",$0,"$61,588","$1,817",$0,"$1,094"
2008,South Carolina,"$3,684,704","$988,045","$362,020","$250,255","$50,420","$312,190",$0,$0,"$266,957","$14,186","$863,770","$56,196","$167,979","$15,019",$230,"$112,972","$32,382","$5,823","$90,979","$41,459","$14,079","$39,743"
2008,South Dakota,"$621,580","$153,756","$94,329","$18,117","$19,907","$46,853",$0,"$17,919","$38,900","$6,252","$171,461",$0,"$30,938",$146,$0,"$2,836","$3,177","$2,684","$1,880","$8,381","$1,468","$2,576"
2008,Tennessee,"$3,850,674","$708,762","$274,980","$92,183","$209,869","$250,379",$0,$0,"$164,459","$19,776","$1,319,116","$5,019","$271,712","$177,659",$613,"$50,586","$46,763","$7,592","$164,155","$57,117","$20,583","$9,350"
2008,Texas,"$24,178,993","$3,439,471","$1,946,350","$498,836","$1,018,135","$999,047","$1,196,091","$61,803","$1,541,926","$42,934","$5,265,444","$1,205,186","$893,035","$3,996",$454,"$493,796","$1,581,894","$54,237","$236,370","$246,207","$307,142","$3,146,639"
2008,Utah,"$3,925,013","$455,432","$310,884","$29,668","$97,251","$167,052","$937,047","$380,326","$230,567",$14,"$803,093",$0,"$108,906","$32,725",$531,"$148,265","$41,771",$326,"$76,133","$73,398","$29,365","$2,260"
2008,Vermont,"$636,968","$269,830","$119,743","$4,473","$26,631","$91,428",$0,$0,N/A,$0,"$70,697",$0,"$14,220",$0,$0,"$24,860","$3,637","$-2,279","$3,359","$2,427","$7,942",$0
2008,Virginia,"$7,562,282","$1,605,243","$711,608","$57,299","$132,083","$913,868","$956,466",$0,"$143,707",$13,"$1,723,770","$2,547","$171,173","$38,574",$498,"$280,919","$306,871","$31,997","$241,563","$146,850","$60,228","$37,003"
2008,Washington,"$7,043,992","$1,045,068","$1,015,230","$259,012","$296,310","$457,501","$923,869",$0,"$319,720","$10,859","$1,558,469",$0,"$177,903","$71,178","$23,995","$98,102","$178,118","$22,317","$444,593","$29,529","$106,466","$5,752"
2008,West Virginia,"$1,569,443","$410,097","$140,355","$93,357","$62,298","$184,819",$0,$835,"$51,511",$773,"$404,739","$2,611","$77,453","$3,495",$95,"$21,575","$13,826","$16,188","$4,314","$51,734",$0,"$29,369"
2008,Wisconsin,"$5,345,887","$1,034,310","$599,720","$97,627","$216,841","$434,650",$0,$0,"$504,808","$15,971","$1,079,275","$682,752","$159,129","$2,176",$0,"$272,883","$25,975",$869,"$115,325","$72,012","$1,280","$30,286"
2008,Wyoming,"$661,423","$58,969","$55,390","$32,808","$10,973","$47,331",$0,$0,"$38,217",$0,"$285,453","$38,627","$13,356",$0,$0,"$15,798","$7,865","$6,966","$31,444","$5,650","$11,952",$626
2007,Total,"$262,104,425","$42,899,231","$29,739,439","$7,629,687","$8,261,303","$19,886,389","$20,758,904","$663,373","$13,469,084","$1,911,769","$63,059,167","$9,404,922","$2,999,278","$1,360,038","$132,710","$5,010,399","$14,417,881","$3,982,553","$7,368,481","$3,512,078","$1,039,425","$4,598,315"
2007,Alabama,"$5,836,626","$902,807","$860,096","$121,087","$134,651","$276,326","$1,034,142","$55,632","$180,545","$3,671","$1,532,416",$10,"$14,830",$366,"$1,008","$140,134","$378,291","$27,753","$3,042","$118,241","$34,504","$17,073"
2007,Alaska,"$746,324","$85,866","$146,128","$18,134","$51,789","$41,252",$0,$0,"$18,525",$0,"$292,283",$0,$0,$0,$0,"$6,983","$33,949","$7,710","$30,093","$13,612",$0,$0
2007,Arizona,"$4,436,597","$901,198","$652,074","$42,947","$115,792","$320,570",$0,$0,"$112,099","$55,985","$1,178,543","$640,867","$2,638","$39,097",$0,"$116,625","$117,327","$39,213","$38,086","$29,847","$4,815","$28,876"
2007,Arkansas,"$2,827,481","$321,809","$233,788","$70,562","$77,250","$197,642","$672,528",$0,"$188,355","$6,079","$689,106","$24,579","$118,902","$19,452","$2,988","$57,203","$64,246","$7,136","$7,986","$54,565",$175,"$13,129"
2007,California,"$37,538,976","$3,617,078","$4,108,005","$1,458,698","$1,169,761","$2,894,040","$3,591,449",$0,"$3,709,215","$4,401","$9,270,655","$2,340,897","$153,011","$117,602","$3,188","$743,713","$865,563","$1,431,689","$928,396","$340,188","$40,471","$750,959"
2007,Colorado,"$4,867,305","$1,219,631","$891,744","$372,786","$127,330","$403,475","$381,516","$1,415","$260,354","$565,624","$25,415","$62,291","$1,028","$5,247",$69,"$109,907","$171,914","$47,563","$150,383","$33,755","$5,273","$30,583"
2007,Connecticut,"$2,802,130","$448,463","$286,220","$37,537","$41,407","$200,672","$227,782",$0,"$312,280",$0,"$891,977",$0,"$2,856","$1,491",$0,"$28,671","$30,056","$58,133","$224,835","$3,030",$366,"$6,357"
2007,Delaware,"$230,844","$49,578","$31,038","$13,450",$0,"$9,909",$0,$144,"$3,818",$0,"$104,000",$0,$0,$0,"$5,178","$1,588","$1,389",$47,"$8,795",$0,$0,"$1,911"
2007,District of Columbia,"$130,048","$17,401","$15,532",$0,"$11,938","$1,471",$0,"$1,375","$2,482",$0,"$6,516","$62,636",$0,$0,$0,$974,"$6,878",$10,"$2,836",$0,$0,$0
2007,Florida,"$10,515,415","$1,349,732","$888,233","$354,498","$596,308","$606,699",$0,$6,"$161,631",$796,"$3,913,403","$189,853","$469,593","$283,188","$3,769","$88,484","$194,939","$171,970","$1,018,372","$211,952",$800,"$11,189"
2007,Georgia,"$5,604,899","$965,441","$761,679","$84,388","$337,269","$521,585","$197,255","$10,090","$139,877","$5,880","$2,065,879",$0,"$61,184","$9,220","$26,428","$101,177","$57,693","$1,146","$10,461","$244,304",$0,"$3,943"
2007,Hawaii,"$1,417,682","$137,996","$318,062","$23,313","$31,735","$74,711",$0,"$14,622","$6,900",$37,"$514,988",$0,$0,"$116,794",$0,"$2,605","$19,540",$616,"$129,091","$14,965",$0,"$11,706"
2007,Idaho,"$1,010,003","$194,345","$138,786","$36,073","$24,796","$90,125",$0,$0,"$35,254","$13,619","$351,950","$8,198",$0,$0,$0,"$34,959","$20,509","$2,356","$10,666","$48,367",$0,$0
2007,Illinois,"$8,817,111","$1,613,891","$782,094","$173,703","$167,537","$772,648","$424,211","$10,620","$685,166","$29,482","$1,671,782","$795,108","$272,043","$191,872","$10,937","$144,100","$211,789","$600,350","$211,455","$29,489","$1,146","$17,688"
2007,Indiana,"$5,500,948","$1,482,287","$655,469","$96,679","$221,400","$674,736",$0,$0,"$309,319","$16,660","$1,359,913","$7,460",$0,$0,$0,"$149,974","$338,908","$56,499","$30,908","$39,256","$54,086","$7,394"
2007,Iowa,"$3,914,634","$594,592","$561,410","$60,781","$68,005","$365,680","$792,585","$30,773","$222,787",$0,"$831,047","$80,541","$14,417","$2,303",$0,"$93,678","$133,786","$1,042","$26,215","$31,651","$2,388",$952
2007,Kansas,"$2,767,974","$573,876","$348,946","$44,023","$68,993","$236,946",$0,$0,"$282,306","$17,290","$771,036","$220,084","$21,909","$2,330","$2,194","$47,968","$51,142","$9,419","$14,293","$54,023","$1,110",$85
2007,Kentucky,"$4,449,342","$653,431","$570,281","$282,070","$57,003","$219,963","$901,310","$12,538","$122,666",$0,"$1,045,794","$12,857","$38,756","$6,878","$5,063","$65,468","$206,568","$19,455","$143,650","$26,906","$33,818","$24,867"
2007,Louisiana,"$3,730,468","$558,896","$503,199","$256,967","$138,461","$271,082","$384,717",$0,"$78,600",$0,"$1,270,820",$0,"$14,674",$0,$0,"$28,222","$71,242","$27,857","$60,042","$23,134","$30,581","$11,974"
2007,Maine,"$790,603","$176,989","$74,073","$42,759","$20,286","$89,848",$0,$0,"$49,404",$307,"$243,198",$0,"$23,407",$31,$0,"$14,297","$29,597","$5,542","$10,136","$8,317",$525,"$1,886"
2007,Maryland,"$5,636,908","$1,185,911","$709,147","$167,080","$188,089","$507,527",$0,$871,"$270,179","$375,608","$1,225,201","$283,634","$75,139","$11,516","$1,643","$59,240","$177,589","$33,755","$299,487","$31,800",$532,"$32,959"
2007,Massachusetts,"$3,824,752","$817,782","$408,566","$121,471","$107,983","$286,342",$0,"$107,199","$524,819","$5,777","$1,168,460","$10,610",$56,$137,$0,"$23,811","$113,028","$12,748","$97,484","$9,439",$0,"$9,041"
2007,Michigan,"$12,697,813","$2,584,047","$1,465,555","$104,762","$328,722","$870,554","$1,983,636","$8,519","$431,085","$7,586","$1,612,116","$575,550","$39,816","$4,145",$452,"$252,670","$2,024,999","$7,887","$56,734","$141,766","$135,103","$62,112"
2007,Minnesota,"$4,579,156","$1,048,391","$568,675","$157,414","$202,565","$538,951",$0,$0,"$18,128",$0,"$1,237,370",$0,"$29,896","$63,092","$28,838","$135,493","$66,437","$183,351","$243,704","$19,721","$6,017","$31,113"
2007,Mississippi,"$3,385,385","$371,480","$672,985","$104,428","$73,190","$204,698","$454,072",$201,"$96,594","$21,419","$877,807","$58,166","$47,554","$32,989",$0,"$65,363","$64,405","$50,770","$132,202","$44,249","$3,918","$8,895"
2007,Missouri,"$4,168,235","$805,858","$338,558","$83,685","$73,014","$542,896","$529,530",$0,"$174,057","$15,218","$925,927","$184,710","$76,246","$6,594","$2,018","$75,076","$238,688","$19,322","$18,383","$29,214","$28,544",$698
2007,Montana,"$877,781","$218,937","$175,345","$18,654","$17,184","$94,330",$0,$0,"$68,134","$7,852","$157,125","$6,781","$28,992","$8,111",$0,"$26,482","$23,121","$4,300","$7,646","$12,766","$1,612",$408
2007,Nebraska,"$1,850,753","$273,689","$186,891","$29,959","$141,085","$224,598","$21,795",$0,"$82,857",$0,"$568,715","$84,249","$51,037","$1,705",$464,"$74,316","$54,835","$10,166","$24,565","$15,254","$1,912","$2,662"
2007,Nevada,"$1,415,816","$236,451","$170,285","$55,212","$24,469","$92,373",$0,$0,"$62,814",$0,"$582,558",$0,"$14,537",$0,$0,"$27,207","$86,610","$18,756","$2,435","$38,409","$3,698",$0
2007,New Hampshire,"$826,982","$258,372","$102,266","$15,367","$30,877","$156,804",$0,$0,"$22,262",$0,"$119,078",$0,$0,$575,$0,"$11,565","$16,902","$25,449","$8,084","$7,839","$40,092","$11,450"
2007,New Jersey,"$6,071,751","$1,409,013","$601,133","$321,469","$148,746","$422,835","$734,350","$5,758","$149,243","$1,378","$1,573,217","$231,201","$22,270","$8,381",$674,"$85,127","$125,668","$97,634","$86,608","$26,135","$20,911",$1
2007,New Mexico,"$2,868,202","$191,472","$540,996","$108,211","$57,561","$118,549","$449,519","$8,101","$108,442","$14,340","$741,110","$92,000","$3,745",$111,$0,"$33,411","$138,723","$118,010","$90,709","$24,326","$23,783","$5,083"
2007,New York,"$13,147,645","$1,868,850","$1,017,103","$638,447","$483,751","$768,149","$1,621,459",$0,"$144,325","$599,449","$4,021,936","$652,372","$264,837","$5,128","$1,393","$39,821","$246,683","$224,310","$460,673","$82,631","$2,243","$4,083"
2007,North Carolina,"$9,071,307","$1,104,655","$827,823","$133,812","$170,237","$1,126,044",$0,"$13,372","$132,204","$30,287","$3,190,505","$170,547","$276,103","$34,241","$10,489","$192,946","$473,472","$20,194","$506,874","$578,979","$66,469","$12,054"
2007,North Dakota,"$823,319","$220,579","$168,698","$9,866","$23,128","$80,955",$0,$503,"$51,385","$4,295","$209,802","$1,959","$1,461",$0,$472,"$21,595","$14,649","$2,078","$3,871","$7,597",$377,$49
2007,Ohio,"$11,043,312","$2,682,483","$895,825","$240,569","$377,101","$816,512","$1,810,767","$72,693","$353,674",$142,"$1,948,518","$194,269","$138,283","$39,298",$460,"$232,269","$917,745","$24,662","$158,602","$60,667","$63,624","$15,148"
2007,Oklahoma,"$3,688,227","$553,367","$375,400","$166,283","$124,015","$387,139",$0,"$223,723","$135,153",$812,"$975,079","$274,846","$49,044","$27,790",$771,"$68,793","$63,503","$87,408","$68,767","$68,839","$8,000","$29,496"
2007,Oregon,"$4,166,886","$674,752","$677,899","$67,775","$162,887","$320,553","$774,289",$0,"$192,301","$7,677","$581,557","$167,657","$48,459","$11,515",$622,"$167,727","$181,805","$30,524",$324,"$58,381",$70,"$40,110"
2007,Pennsylvania,"$2,735,187","$866,392","$191,684","$149,972","$34,595","$297,749",$0,$0,"$74,185","$9,614","$749,176","$123,236","$55,532","$13,595","$1,891","$14,788","$58,762","$7,074","$62,776","$19,278",$-106,"$4,995"
2007,Rhode Island,"$631,191","$194,607","$79,922","$19,114","$3,503","$81,701",$0,"$18,855","$6,507",$0,"$175,497",$0,$0,$0,$0,"$8,232","$5,216",$0,"$35,599","$2,437",$0,$0
2007,South Carolina,"$3,496,269","$898,938","$466,809","$240,105","$64,579","$290,084",$0,$0,"$211,662","$9,667","$804,836","$53,058","$16,802","$3,847",$252,"$112,752","$57,945","$23,006","$117,835","$72,675","$11,793","$39,624"
2007,South Dakota,"$577,515","$139,906","$108,553","$19,974","$21,696","$46,805",$0,"$18,516","$27,980","$6,544","$164,247",$165,"$4,751",$0,$0,$240,"$2,761","$1,295","$1,358","$6,003","$2,460","$4,260"
2007,Tennessee,"$3,753,475","$677,073","$293,364","$85,113","$203,944","$246,952",$0,$0,"$145,432","$12,596","$1,202,136","$4,749","$236,986","$147,962",$528,"$90,471","$208,242","$11,539","$110,203","$48,827","$22,847","$4,510"
2007,Texas,"$25,587,400","$3,202,160","$2,580,116","$435,786","$920,492","$955,606","$1,131,549","$47,418","$1,550,264","$35,836","$4,717,666","$1,093,086","$68,417",$821,$295,"$426,163","$4,246,245","$409,964","$146,489","$186,725","$241,307","$3,190,998"
2007,Utah,"$3,879,278","$433,264","$412,489","$48,506","$88,018","$161,938","$883,032",$0,"$546,730",$165,"$718,640",$0,"$12,858","$6,198",$0,"$107,429","$179,610",$931,"$109,303","$146,951","$23,214",$0
2007,Vermont,"$703,588","$252,326","$114,104","$12,058","$32,437","$79,039",$0,$0,"$21,994",$0,"$70,244",$0,"$3,880",$0,$0,"$21,038","$77,328",$18,"$3,182","$9,066","$6,874",$0
2007,Virginia,"$8,078,856","$1,466,247","$807,481","$65,092","$126,352","$849,095","$900,313",$0,"$132,311",$27,"$1,623,183","$2,769","$6,233","$67,397",$156,"$261,034","$799,217","$23,974","$700,459","$198,488","$22,372","$26,657"
2007,Washington,"$7,007,978","$984,584","$1,013,495","$213,716","$288,831","$430,225","$857,101",$0,"$302,649","$9,213","$1,407,306",$0,"$127,912","$67,944","$20,385","$109,936","$602,351","$14,996","$450,100","$31,786","$72,110","$3,339"
2007,West Virginia,"$1,516,458","$379,335","$202,159","$89,048","$61,521","$165,621",$0,$429,"$44,579",$694,"$378,006","$2,967","$2,125",$77,$86,"$16,692","$23,014",$260,"$4,726","$89,604",$0,"$55,514"
2007,Wisconsin,"$5,340,856","$978,817","$677,863","$88,918","$208,981","$406,361",$0,$0,"$473,495","$15,742","$1,039,886","$650,880","$83,201",$412,$0,"$250,334","$92,636",$837,"$191,490","$116,293","$3,054","$61,655"
2007,Wyoming,"$716,735","$54,187","$61,391","$27,366","$10,038","$46,026",$0,$0,"$32,057",$0,"$261,541","$40,079","$3,857",$587,$0,"$21,647","$30,363","$1,828","$108,068",$334,"$16,534",$829
2006,Total,"$240,696,231","$40,028,441","$29,407,867","$7,156,678","$7,685,051","$18,360,597","$20,355,108","$610,060","$14,249,035","$1,863,112","$58,609,806","$8,829,719","$2,875,916","$1,225,109","$107,081","$4,431,726","$8,994,990","$2,757,489","$5,550,314","$2,582,015","$1,004,758","$4,011,358"
2006,Alabama,"$5,254,541","$840,158","$839,216","$99,314","$121,217","$279,847","$977,421","$56,532","$149,320","$3,588","$1,301,998",$733,"$11,775",$372,$967,"$124,333","$212,617","$43,244","$6,020","$100,414","$28,008","$57,446"
2006,Alaska,"$670,880","$80,644","$147,435","$17,629","$48,982","$39,281",$0,$0,"$15,793",$0,"$256,161",$0,$0,$0,$0,"$6,849","$26,315",$0,"$20,049","$11,741",$0,$0
2006,Arizona,"$3,985,534","$810,742","$646,770","$40,448","$115,032","$298,646",$0,$0,"$94,820","$59,697","$1,040,766","$562,116","$3,580","$27,723",$209,"$107,414","$78,983","$40,066","$21,599","$33,120","$3,803",$0
2006,Arkansas,"$2,656,727","$302,535","$214,502","$64,572","$75,216","$158,389","$635,435",$0,"$206,232",$504,"$646,017","$23,269","$122,058","$26,086","$3,452","$51,930","$39,166","$7,946","$13,571","$50,553",$3,"$15,289"
2006,California,"$36,772,241","$3,505,390","$4,013,754","$1,241,218","$1,099,312","$2,607,433","$4,205,635",$0,"$4,867,241","$7,611","$8,310,291","$2,218,384","$156,704","$97,723","$1,803","$662,614","$704,944","$708,006","$993,505","$271,469","$46,467","$1,052,736"
2006,Colorado,"$4,394,168","$1,131,843","$882,832","$334,630","$117,018","$378,811","$341,819","$1,282","$265,855","$525,756","$24,066","$55,042","$1,103","$4,976",$121,"$102,695","$90,902","$44,164","$56,668","$26,100",$831,"$7,653"
2006,Connecticut,"$2,671,727","$417,891","$287,226","$34,528","$40,690","$184,574","$231,205",$0,"$332,118",$0,"$814,255",$0,"$2,994","$49,050",$0,"$23,815","$23,185","$55,629","$159,245","$9,966",$254,"$5,102"
2006,Delaware,"$217,581","$48,463","$25,473","$13,456",$0,"$9,433",$0,"$2,491",$93,$0,"$95,968",$0,$0,$0,"$4,331",$473,$930,$25,"$14,320",$220,$0,"$1,904"
2006,District of Columbia,"$125,921","$17,087","$16,005","$9,944",$957,"$1,832",$0,$0,"$3,182",$0,"$6,554","$61,266",$0,$0,$0,"$1,116","$3,440",$0,"$4,537",$0,$0,$0
2006,Florida,"$9,146,935","$1,265,811","$851,663","$293,549","$571,971","$547,723",$0,$6,"$169,318",$846,"$3,466,783","$154,134","$444,234","$234,230","$7,419","$73,669","$80,588","$188,494","$664,293","$115,835","$2,536","$13,832"
2006,Georgia,"$5,217,200","$905,514","$748,003","$86,536","$299,512","$464,255","$181,146","$9,001","$132,142","$5,632","$1,959,504",$0,"$69,157","$8,302","$20,546","$70,925","$38,655","$-6,240","$11,482","$208,321",$0,"$4,807"
2006,Hawaii,"$1,262,700","$124,074","$299,582","$21,653","$28,932","$70,330",$0,"$13,775","$5,949",$72,"$430,451",$0,$0,"$107,912",$0,"$2,239","$8,407",$236,"$103,502","$23,502",$3,"$22,080"
2006,Idaho,"$941,193","$182,526","$148,629","$41,733","$26,352","$84,358",$0,$0,"$36,147","$4,957","$338,143","$7,633",$0,$0,$0,"$33,513","$14,337","$-3,735","$3,507","$23,088",$0,$3
2006,Illinois,"$8,486,504","$1,479,266","$796,056","$160,358","$167,150","$720,249","$408,406","$11,786","$851,633","$29,148","$1,602,641","$768,509","$282,898","$203,177","$19,256","$138,564","$111,728","$511,380","$170,934","$26,207",$235,"$26,922"
2006,Indiana,"$5,081,366","$1,379,153","$629,657","$114,371","$193,300","$651,618",$0,$0,"$295,887","$14,874","$1,338,921","$7,379",$0,$0,$0,"$122,914","$169,507","$43,039","$19,420","$43,646","$32,754","$24,926"
2006,Iowa,"$3,739,770","$559,891","$549,567","$61,346","$66,968","$334,590","$761,623","$31,765","$267,016",$0,"$798,961","$73,502","$13,603","$1,409",$0,"$91,008","$70,398","$20,715","$11,224","$18,222",$396,"$7,564"
2006,Kansas,"$2,693,864","$539,582","$374,490","$46,325","$69,065","$242,487",$0,$0,"$247,574","$18,183","$736,043","$211,891","$19,116","$1,879","$2,534","$106,103","$37,466","$6,937","$15,814","$16,650","$1,140",$585
2006,Kentucky,"$4,052,056","$574,560","$558,049","$263,520","$58,022","$208,285","$805,475","$8,586","$111,457",$0,"$1,014,939","$12,035","$40,710","$6,161","$4,738","$70,398","$143,791","$17,082","$46,707","$69,544","$25,764","$12,233"
2006,Louisiana,"$3,509,240","$554,601","$498,726","$250,463","$113,015","$252,569","$356,279",$0,"$91,594",$0,"$1,084,984",$0,"$17,249",$0,$0,"$34,112","$38,246","$56,031","$84,902","$41,395","$21,190","$13,883"
2006,Maine,"$748,611","$158,923","$71,926","$41,139","$21,969","$89,194",$0,$0,"$46,333",$297,"$231,890",$0,"$23,534",$411,$0,"$13,443","$19,294",$616,"$12,654","$6,910",$975,"$9,104"
2006,Maryland,"$5,127,073","$1,112,550","$684,750","$168,172","$187,815","$474,943",$0,$810,"$266,135","$385,126","$1,078,966","$253,486","$80,388","$10,169","$2,341","$38,492","$115,946","$31,975","$213,537","$10,436",$74,"$10,963"
2006,Massachusetts,"$3,461,597","$763,737","$418,034","$115,571","$96,558","$269,519",$0,"$86,289","$461,667","$7,044","$1,061,262","$9,520",$108,$225,$0,"$31,821","$56,158","$11,664","$56,745","$1,162",$2,"$14,511"
2006,Michigan,"$11,638,062","$2,413,692","$1,415,521","$111,782","$314,059","$851,302","$1,990,453","$7,717","$407,089","$7,579","$1,773,133","$535,401","$38,289","$2,182",$278,"$212,615","$1,230,459","$17,421","$84,896","$99,509","$116,031","$8,655"
2006,Minnesota,"$4,078,160","$995,875","$543,739","$120,208","$173,730","$377,374",$0,$0,"$163,033",$0,"$1,194,106",$0,"$26,907","$61,166",$743,"$113,454","$43,990","$105,739","$107,356","$17,275","$7,938","$25,526"
2006,Mississippi,"$3,080,043","$349,637","$600,873","$99,351","$78,349","$185,265","$435,612",$208,"$111,854","$20,168","$774,001","$57,538","$45,127","$33,054",$0,"$54,643","$33,625","$37,251","$89,280","$44,084","$2,794","$27,329"
2006,Missouri,"$3,938,851","$753,586","$340,336","$83,152","$64,045","$506,125","$517,620",$0,"$170,646","$16,221","$901,616","$191,939","$73,065","$6,807","$2,052","$71,519","$138,942","$15,524","$11,425","$34,682","$39,145",$405
2006,Montana,"$842,226","$201,648","$177,201","$18,557","$14,979","$91,411",$0,$0,"$63,757","$10,237","$154,770","$6,283","$30,388","$12,420",$0,"$25,381","$17,694","$4,382","$5,761","$5,265","$2,093",$0
2006,Nebraska,"$1,747,222","$255,731","$189,927","$26,510","$131,200","$210,547","$20,626",$0,"$71,381",$0,"$532,192","$78,470","$49,154","$1,942",$680,"$85,034","$50,955","$2,341","$16,485","$16,509","$5,943","$1,594"
2006,Nevada,"$1,439,438","$219,833","$175,294","$49,980","$22,548","$85,414",$0,$0,"$65,376",$0,"$524,701",$0,"$15,136",$0,$0,"$29,649","$53,007","$13,858","$146,977","$16,762",$642,"$20,263"
2006,New Hampshire,"$764,240","$244,305","$100,395","$10,093","$20,865","$141,347",$0,$0,"$27,611","$8,342","$114,557",$0,$0,$675,$547,"$11,474","$9,995","$21,320","$21,940","$2,425","$27,955",$393
2006,New Jersey,"$5,807,729","$1,280,438","$579,114","$305,572","$149,794","$420,824","$722,364","$5,440","$125,523","$1,269","$1,652,182","$226,017","$20,612","$8,004","$1,030","$40,212","$87,774","$55,673","$50,246","$53,279","$21,181","$1,182"
2006,New Mexico,"$2,652,189","$181,287","$505,014","$100,726","$54,597","$111,756","$410,664","$4,565","$133,319","$13,603","$679,588","$92,644","$3,633",$104,$0,"$30,377","$75,692","$109,971","$92,040","$29,325","$10,695","$12,589"
2006,New York,"$11,997,364","$1,800,882","$997,261","$608,828","$449,728","$724,412","$1,430,623",$0,"$139,001","$574,690","$3,500,840","$623,155","$258,309","$8,033","$2,376","$35,092","$160,120","$117,233","$404,528","$72,500","$16,039","$73,713"
2006,North Carolina,"$7,730,710","$1,008,521","$811,659","$124,100","$158,706","$1,067,770",$0,"$12,168","$92,915","$25,088","$2,815,090","$156,171","$281,378","$34,552","$8,498","$192,481","$298,323","$13,468","$180,221","$367,479","$79,231","$2,892"
2006,North Dakota,"$786,473","$200,722","$165,814","$22,745","$25,200","$80,928",$0,$710,"$43,673","$6,002","$195,040","$1,786",$389,$0,$0,"$19,728","$7,776","$4,195","$7,154","$4,476",$136,$0
2006,Ohio,"$10,160,246","$2,475,131","$903,317","$236,681","$347,653","$779,168","$1,639,400","$66,760","$358,007",$240,"$1,916,511","$183,995","$90,115","$24,841",$514,"$202,156","$540,221","$38,622","$235,061","$54,866","$61,093","$5,894"
2006,Oklahoma,"$3,384,667","$513,764","$387,434","$146,806","$112,890","$351,852",$0,"$210,881","$123,432","$1,051","$859,531","$250,049","$44,061","$26,313",$438,"$56,682","$32,876","$71,357","$25,479","$126,460","$12,491","$30,819"
2006,Oregon,"$3,977,056","$635,630","$676,017","$71,301","$143,445","$293,622","$724,917",$0,"$188,807","$7,217","$657,010","$161,438","$47,385","$9,742",$632,"$131,484","$128,743","$10,528","$14,796","$46,567","$2,580","$25,196"
2006,Pennsylvania,"$2,678,889","$850,528","$199,829","$150,521","$36,493","$270,528",$0,$0,"$71,443","$10,053","$735,423","$158,998","$49,944","$13,033","$1,474","$14,535","$41,716","$3,982","$55,122","$13,259",$-22,"$2,030"
2006,Rhode Island,"$580,204","$176,396","$72,053","$17,003","$4,157","$75,282",$0,"$15,464","$6,003",$0,"$172,703",$0,$0,$0,$0,"$8,083","$2,486",$397,"$28,347","$1,831",$0,$0
2006,South Carolina,"$3,139,056","$820,922","$485,532","$222,206","$57,157","$269,635",$0,$0,"$193,012","$11,338","$715,967","$50,592","$4,305","$7,733",$157,"$94,260","$30,126","$3,580","$58,886","$68,570","$20,615","$24,461"
2006,South Dakota,"$527,115","$129,954","$93,616","$8,522","$20,564","$45,478",$0,"$9,383","$24,961","$7,703","$161,611",$0,"$1,641",$0,$0,$1,"$1,956","$1,391","$2,239","$10,993","$1,455","$5,648"
2006,Tennessee,"$3,429,558","$669,962","$280,780","$81,586","$196,580","$218,762",$0,$0,"$127,713","$14,124","$1,124,017","$4,326","$227,923","$102,534",$841,"$57,650","$134,615","$8,268","$105,879","$26,897","$38,906","$8,195"
2006,Texas,"$22,135,485","$2,879,043","$2,667,629","$516,409","$815,763","$891,874","$1,103,220","$53,875","$1,136,313","$28,826","$4,658,611","$971,351","$48,849","$1,772",$621,"$383,814","$2,794,384","$287,328","$222,436","$113,638","$215,017","$2,344,710"
2006,Utah,"$3,401,756","$401,188","$420,101","$45,871","$90,681","$148,250","$821,704",$0,"$508,290",$0,"$674,091",$0,"$13,691","$2,160",$0,"$47,068","$92,094",$68,"$62,428","$48,173","$25,897",$0
2006,Vermont,"$627,789","$231,033","$113,878","$12,348","$34,495","$72,242",$0,$0,"$21,881",$0,"$63,740",$0,"$3,682",$0,$0,"$18,170","$39,561","$6,099","$3,250","$2,417","$4,993",$0
2006,Virginia,"$6,688,175","$1,360,470","$832,624","$53,359","$119,616","$760,833","$836,616",$0,"$152,780",$0,"$1,488,117","$2,415","$6,360","$19,952",$43,"$212,892","$405,366","$18,933","$318,336","$79,175","$17,255","$3,034"
2006,Washington,"$6,394,449","$923,602","$1,023,077","$213,331","$243,598","$392,438","$796,846",$0,"$285,674","$9,730","$1,319,051",$33,"$126,799","$66,808","$18,350","$127,616","$351,729","$9,182","$366,328","$26,527","$93,140",$590
